"","symbol","group","logFC","AveExpr","t","PValue","FDR","B"
"ENSG00000135119","RNFT2","protein_coding",1.80431681843033,1.78610994532912,11.0747970992684,2.98748932938168e-25,2.55219405418416e-24,46.5430834252694
"ENSG00000101182","PSMA7","protein_coding",1.22521543511725,8.22057431531432,11.0745935022214,2.99277783128823e-25,2.55523922899505e-24,46.1047530307511
"ENSG00000123612","ACVR1C","protein_coding",-1.78561829773518,2.19496093948188,-11.0740397116784,3.00720987198581e-25,2.56608317343544e-24,46.24984000591
"ENSG00000183317","EPHA10","protein_coding",-1.4334543574264,3.92999552108152,-11.0733257280029,3.02591879209268e-25,2.58056204467191e-24,46.1192917247074
"ENSG00000184005","ST6GALNAC3","protein_coding",-1.60351591815335,0.66375904854401,-11.0700698499779,3.11271242369342e-25,2.65305483289154e-24,46.4068311696588
"ENSG00000143375","CGN","protein_coding",-1.29411129635651,6.89881970488286,-11.0638153543203,3.28644634570184e-25,2.79310250779775e-24,46.0304258401519
"ENSG00000111490","TBC1D30","protein_coding",1.2688023858035,3.86314993897071,11.0624749240493,3.32491666868218e-25,2.82417850218953e-24,46.2512406814375
"ENSG00000161692","DBF4B","protein_coding",1.18658572362892,3.29951245911509,11.0560983198617,3.5141460797712e-25,2.983200068406e-24,46.2498845081749
"ENSG00000168496","FEN1","protein_coding",1.00209577811682,5.62214338776453,11.055609841527,3.52907596450449e-25,2.99415935580341e-24,45.9710317375
"ENSG00000184445","KNTC1","protein_coding",1.12598195323134,4.76614332360006,11.0510784926542,3.67061371790663e-25,3.11246204386797e-24,46.0181177965517
"ENSG00000104321","TRPA1","protein_coding",-2.24554762268966,2.09472491246628,-11.0472233685749,3.79546355852692e-25,3.21281329894266e-24,46.00085930272
"ENSG00000169213","RAB3B","protein_coding",-2.02326131501849,1.49605930170426,-11.0434663068534,3.92119846150715e-25,3.31545941793833e-24,46.0515575959006
"ENSG00000112378","PERP","protein_coding",1.19843141292617,8.71594172229565,11.0348352153157,4.2259551220338e-25,3.56906591560028e-24,45.7733043357548
"ENSG00000183023","SLC8A1","protein_coding",-1.35148164725464,2.93119537058006,-11.0283118753871,4.47181318292868e-25,3.77455666272032e-24,45.805984932131
